CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"18,927",-47,60,-,"9,050.00",-28.35,100,"9,011.00","9,065.00",25,"16,000.00",50,3.50,3.90,300,0.65,4.00,59.41,496,238,"5,619",
,3,1,2,82.38,"8,225.90",325.80,-,-,"8,404.00",25,"17,000.00","1,000",2.55,4.00,250,-,-,-,-,-,46,
,512,-4,8,-,"7,060.00",35.40,25,"7,050.00","7,084.95",25,"18,000.00","1,000",3.70,4.00,75,-0.10,4.00,45.13,36,-8,"1,372",
,"5,210",-30,680,-,"6,105.00",-17.70,25,"6,048.20","6,118.80",25,"19,000.00","1,100",4.75,5.00,"1,650",0.10,5.00,39.47,700,-39,"10,005",
,"13,174",-74,277,-,"5,096.35",-20.00,25,"5,071.45","5,107.30",25,"20,000.00","1,275",5.25,5.90,100,0.25,5.90,33.16,"2,552",354,"25,172",
,"7,842","1,579","1,693",-,"4,088.30",-38.30,100,"4,088.20","4,088.25",50,"21,000.00","3,600",6.10,6.45,125,-1.00,6.10,27.35,"5,167",907,"35,885",
,"15,626",257,"1,634",-,"3,107.75",-39.90,50,"3,094.65","3,134.20",25,"22,000.00",100,9.55,11.10,825,-1.25,11.00,22.98,"17,398",312,"54,439",
,277,259,272,-,"2,872.25",667.75,"1,775","2,476.25","2,988.55","1,000","22,250.00",750,10.60,14.00,25,-0.10,14.05,22.13,5,-,382,
,60,3,23,-,"2,560.50",-289.50,100,"2,664.05","2,972.80",900,"22,300.00",100,13.10,15.15,100,-1.65,13.95,21.77,"4,701",-7,"9,456",
,7,-,-,-,-,-,450,"2,523.40","2,918.65","1,000","22,350.00",750,12.30,15.00,50,-1.75,14.15,21.48,10,-,292,
,8,-,-,-,-,-,450,"2,565.45","2,750.00",75,"22,400.00","1,500",11.00,23.25,"1,000",-1.65,14.55,21.24,443,-25,"7,844",
,6,-,-,-,-,-,50,"2,429.70","2,790.50",50,"22,450.00",750,11.30,-,-,-,-,-,-,-,165,
,"3,937",312,560,-,"2,608.00",-43.60,25,"2,603.55","2,611.00",50,"22,500.00",150,14.00,14.85,475,-2.65,14.15,20.59,"23,637","9,386","50,343",
,6,-,-,-,-,-,50,"2,328.20","2,722.60",50,"22,550.00",75,15.30,34.55,"1,000",-2.70,15.30,20.39,291,132,301,
,13,1,3,-,"2,500.05",120.05,100,"2,431.80","2,560.00",25,"22,600.00","1,500",12.80,22.80,575,-2.80,16.05,20.21,"6,617",796,"6,691",
,5,-,-,-,-,-,50,"2,241.40","2,591.25",50,"22,650.00",750,12.95,25.80,100,-,-,-,-,-,13,
,65,10,12,-,"2,420.00",-60.00,25,"2,389.95","2,491.30",450,"22,700.00",25,18.35,19.00,50,-1.25,18.80,20.07,"6,939",-427,"5,537",
,5,-,-,-,-,-,50,"2,146.50","2,488.70",50,"22,750.00",750,12.80,23.00,100,-27.55,27.55,21.19,4,-,63,
,43,-,-,-,-,-,25,"2,280.85","2,362.75",100,"22,800.00","1,000",18.50,19.80,100,-1.90,19.05,19.41,"4,801","-1,719","10,357",
,5,-,-,-,-,-,50,"2,051.45","2,388.85",50,"22,850.00",50,16.00,24.50,100,3.50,19.75,19.19,47,-16,39,
,68,-,-,-,-,-,450,"2,189.00","2,264.80",125,"22,900.00",100,20.90,34.15,600,-2.05,20.90,19.01,"3,492",-440,"8,550",
,4,-,-,-,-,-,50,"1,957.20","2,306.55",50,"22,950.00",600,16.70,29.75,100,-,-,-,-,-,94,
,"18,351","2,688","4,577",-,"2,132.00",-38.40,50,"2,120.00","2,150.35",25,"23,000.00",100,22.55,23.55,25,-2.60,23.05,18.71,"32,236","5,447","90,934",
,5,-,-,-,-,-,100,"2,052.95","2,134.65",100,"23,050.00",750,17.85,34.40,100,-,-,-,-,-,90,
,135,31,47,-,"2,075.00",25.00,450,"1,812.35","2,144.40",25,"23,100.00",25,24.10,28.75,50,-2.30,24.20,18.09,"2,874",-83,"7,015",
,8,-,-,-,-,-,50,"1,768.50","2,099.65",50,"23,150.00",50,22.00,39.90,100,-,-,-,-,-,119,
,562,38,42,-,"1,980.00",-18.05,900,"1,843.75","1,993.85",900,"23,200.00","1,200",26.55,36.65,25,-2.60,26.75,17.71,"6,405",166,"12,264",
,2,-,-,-,-,-,50,"1,661.40","1,992.65","1,000","23,250.00",25,25.00,-,-,-3.15,28.05,17.54,495,115,304,
,88,8,11,-,"1,850.00",16.00,25,"1,806.85","1,882.70",25,"23,300.00",50,26.05,40.00,25,-2.80,29.65,17.36,"6,455","-1,307","9,083",
,1,-,-,-,-,-,50,"1,581.65","1,878.15",50,"23,350.00",600,24.50,42.85,"1,000",-4.50,30.00,17.03,58,-10,134,
,111,28,74,-,"1,746.50",-62.55,25,"1,737.25","1,755.00",125,"23,400.00",400,33.50,36.90,25,-2.20,34.80,17.10,"14,474","3,027","19,690",
,4,-,-,-,-,-,50,"1,477.70","1,787.90",50,"23,450.00",25,28.00,42.90,"1,000",-3.30,34.60,16.80,484,-7,174,
,"6,734","1,915","4,033",-,"1,646.20",-44.85,100,"1,645.00","1,654.00",25,"23,500.00",375,36.50,37.40,25,-3.40,38.00,16.70,"30,706","2,680","52,729",
,108,90,126,12.53,"1,643.80",-28.40,25,"1,563.15","1,690.50","1,000","23,550.00","1,500",25.55,53.45,"1,775",-1.70,40.90,16.66,307,-1,196,
,370,286,365,-,"1,557.30",-58.35,25,"1,546.20","1,578.05",25,"23,600.00",75,40.60,42.95,250,-3.90,40.70,16.19,"10,000",643,"11,628",
,7,-,-,-,-,-,"1,775","1,211.05","1,558.15",25,"23,650.00",450,30.50,51.00,25,-4.90,42.95,16.05,173,-24,324,
,201,27,35,10.97,"1,492.45",4.45,900,"1,425.50","1,493.75",900,"23,700.00",50,45.15,51.85,25,-3.10,47.55,15.97,"10,978","1,154","13,196",
,11,-,-,-,-,-,25,"1,383.00","1,507.05","1,000","23,750.00",50,44.90,57.10,"1,000",-5.30,48.50,15.72,556,81,565,
,361,3,75,12.37,"1,405.40",-16.15,900,"1,335.00","1,381.85",25,"23,800.00",350,51.30,53.40,25,-3.95,52.60,15.64,"18,413","2,685","25,352",
,9,-,-,-,-,-,25,"1,291.25","1,400.55",50,"23,850.00","1,775",36.55,-,-,-4.35,56.00,15.48,384,-3,"1,268",
,283,96,188,-,"1,277.75",-39.75,25,"1,262.80","1,285.60",25,"23,900.00",150,59.10,61.25,25,-4.75,59.45,15.31,"9,631","2,831","15,069",
,77,-1,4,11.63,"1,259.65",149.00,125,"1,001.55","1,247.35",25,"23,950.00",500,60.00,69.00,25,-3.50,64.45,15.23,"1,355",264,"2,958",
,"31,724",-314,"4,154",6.19,"1,187.85",-45.65,25,"1,180.90","1,185.00",250,"24,000.00",25,71.85,71.90,25,-3.55,71.80,15.29,"64,415","6,794","1,30,578",
,120,-,1,12.44,"1,176.95",-,25,"1,122.55","1,228.35","1,000","24,050.00",900,72.35,77.65,625,-5.10,74.70,14.95,671,118,"1,357",
,"1,463",-20,166,10.24,"1,108.50",-32.10,25,"1,041.20","1,120.00",25,"24,100.00",75,77.00,93.05,50,-3.75,80.00,14.89,"11,023","-1,058","7,988",
,280,1,22,8.93,"1,051.35",-49.20,450,901.95,"1,100.00",750,"24,150.00",900,79.10,88.75,250,-7.05,83.35,14.62,328,17,547,
,"3,464",-34,352,9.77,"1,017.55",-35.70,25,"1,005.00","1,019.55",25,"24,200.00",300,91.70,94.00,50,-1.95,95.00,14.75,"17,257",266,"25,948",
,233,-,5,13.12,"1,013.60",-15.25,25,949.75,983.80,25,"24,250.00",75,98.20,102.00,25,-4.75,98.15,14.48,780,160,"1,605",
,"8,614",20,645,10.05,925.05,-44.25,25,913.85,933.90,25,"24,300.00",25,104.10,108.10,25,-1.30,107.70,14.55,"20,516","-2,680","24,250",
,337,61,78,11.04,895.75,-44.25,50,871.40,930.20,25,"24,350.00",900,106.70,124.00,50,-5.75,112.55,14.23,621,-,"1,389",
,"3,101",206,"1,468",10.40,843.30,-45.45,25,830.20,849.15,100,"24,400.00",125,121.30,125.60,50,-0.40,126.10,14.37,"15,872",-245,"21,630",
,141,-1,4,10.45,802.00,-42.30,25,771.85,813.25,25,"24,450.00",100,131.10,141.40,"1,800",-0.50,133.35,14.10,"1,083",-49,"1,652",
,"32,951","-1,306","8,565",10.51,762.00,-44.75,150,762.00,772.90,25,"24,500.00",500,144.85,144.90,575,-1.10,144.00,14.15,"54,011",687,"93,975",
,535,53,145,10.98,730.95,-36.45,25,706.95,787.85,25,"24,550.00",900,147.80,170.35,300,7.30,160.25,13.81,"1,121",291,"1,276",
,"5,222",-44,"1,297",10.20,675.00,-52.70,150,675.20,691.35,125,"24,600.00",575,164.00,166.85,75,3.95,166.25,13.96,"24,614","3,511","18,173",
,614,-31,166,10.55,645.00,-43.45,150,645.00,662.90,25,"24,650.00",100,168.00,193.70,900,1.30,175.75,13.68,940,194,"1,001",
,"11,232",379,"1,977",10.60,616.85,-35.05,25,605.00,631.45,25,"24,700.00",50,186.35,192.35,50,5.95,192.75,13.81,"21,806",-293,"19,419",
,843,173,393,10.58,572.35,-42.40,25,570.00,592.45,250,"24,750.00",900,195.15,209.00,200,-1.30,197.75,13.44,"1,012",103,"1,298",
,"19,428",-597,"6,927",10.66,539.35,-41.00,25,533.85,539.35,675,"24,800.00",75,218.75,220.30,75,5.15,220.35,13.59,"20,140","1,099","37,029",
,"1,104",160,407,10.84,510.00,-32.45,25,501.00,569.95,250,"24,850.00",650,227.15,243.25,750,7.35,235.50,13.35,"1,231",62,"1,191",
,"16,858",251,"7,577",10.50,468.55,-41.05,125,468.00,480.75,25,"24,900.00",250,245.00,250.45,25,5.85,250.00,13.39,"14,719",-281,"24,480",
,"1,700",57,549,10.66,444.95,-29.00,25,430.00,444.95,200,"24,950.00",900,256.65,269.45,75,9.10,269.45,13.22,"1,763",-437,"1,545",
,"1,31,295","-1,968","96,599",10.50,408.00,-37.60,25,406.25,408.00,475,"25,000.00",300,287.00,287.50,175,7.00,287.00,13.23,"1,20,187","3,516","1,78,201",
,"1,469",189,"2,259",10.50,373.00,-40.70,25,370.00,378.95,475,"25,050.00",625,303.45,312.25,"1,050",14.50,312.35,13.10,"2,976",891,"2,144",
,"10,051","1,949","16,189",10.32,345.20,-37.55,50,346.00,351.00,250,"25,100.00",50,320.00,329.00,50,13.85,328.85,13.09,"15,559","1,652","11,091",
,"1,149",425,"2,654",10.41,321.30,-33.20,25,310.55,335.50,900,"25,150.00",25,348.00,355.25,950,20.35,355.50,12.91,"2,749",344,936,
,"16,225","2,158","18,290",10.28,294.95,-31.50,800,291.40,296.00,50,"25,200.00",900,365.75,372.00,25,14.85,372.50,12.65,"17,904","4,756","10,982",
,795,286,887,10.37,276.65,-23.00,925,265.05,303.55,600,"25,250.00",250,384.75,400.00,25,6.50,386.55,12.57,334,-43,476,
,"13,765","1,323","13,657",10.24,245.00,-29.30,25,243.65,245.00,575,"25,300.00",425,419.60,425.00,100,16.40,421.85,12.87,"12,192","1,242","4,880",
,849,109,586,10.15,218.30,-33.05,150,218.35,225.05,325,"25,350.00","1,050",439.80,458.55,75,18.10,448.00,12.81,353,131,560,
,"10,225",895,"9,144",10.18,200.00,-28.00,25,196.60,208.35,125,"25,400.00","1,050",468.50,475.80,975,19.60,475.80,12.76,"3,533","1,344","2,559",
,892,145,907,10.16,183.50,-23.05,25,180.10,185.80,550,"25,450.00",250,496.25,515.00,25,11.55,499.30,12.54,149,-16,102,
,"67,718","3,591","44,298",10.11,166.00,-22.80,"1,675",165.00,166.30,25,"25,500.00",25,537.10,538.95,25,23.25,539.00,12.78,"9,625",799,"11,676",
,"1,019",63,619,10.02,144.25,-24.60,400,142.00,149.55,400,"25,550.00",250,425.05,578.90,100,5.70,562.35,12.53,96,-36,126,
,"15,344","1,297","9,931",9.98,130.80,-20.10,25,130.25,133.50,125,"25,600.00",250,595.50,611.55,25,25.55,603.50,12.84,513,83,409,
,"1,033",137,605,9.92,115.85,-18.40,400,113.70,122.00,75,"25,650.00",50,463.05,817.35,50,-,-,-,-,-,134,
,"21,027","-2,212","17,456",9.99,102.35,-17.95,75,102.35,107.15,25,"25,700.00",25,638.25,680.90,25,-13.25,631.50,12.64,176,20,239,
,"1,310",216,"1,159",9.91,91.90,-14.55,25,77.00,94.00,25,"25,750.00",900,604.65,900.20,625,-,-,-,-,-,61,
,"31,389","2,010","20,883",9.90,80.95,-13.80,25,80.15,81.35,25,"25,800.00",25,726.10,763.15,250,32.35,753.60,12.63,102,-28,83,
,787,623,"1,676",9.94,70.25,-12.20,"1,300",64.35,72.70,"1,300","25,850.00","1,000",655.80,966.95,50,-,-,-,-,-,13,
,"11,993","1,630","14,501",9.81,61.90,-10.55,175,61.90,63.70,25,"25,900.00",25,809.90,843.90,25,37.10,828.90,13.25,32,-12,86,
,19,-,-,-,-,-,600,21.15,115.30,"1,300","25,950.00",50,731.25,"1,127.60",50,-,-,-,-,-,13,
,"1,02,348","10,651","75,081",9.81,47.10,-8.50,325,47.10,47.90,25,"26,000.00",100,912.45,920.00,100,42.50,919.80,13.86,"5,894","1,076","18,098",
,842,209,801,9.74,40.05,-6.95,"1,500",27.55,41.60,250,"26,050.00",900,828.35,"1,149.05",450,-,-,-,-,-,13,
,"10,390","1,189","13,097",9.70,33.75,-5.50,25,33.75,34.60,350,"26,100.00",200,984.40,"1,012.50",100,19.70,995.85,13.85,149,126,172,
,-,-,-,-,-,-,600,20.40,88.55,"2,300","26,150.00",50,918.20,"1,276.65",50,-,-,-,-,-,11,
,"19,193","4,604","22,718",9.66,25.85,-3.30,25,24.70,27.95,"1,400","26,200.00",200,"1,075.25","1,104.00",100,42.15,"1,092.15",14.42,15,13,61,
,4,-,-,-,-,-,750,12.80,77.10,"2,300","26,250.00",900,998.45,"1,390.90",50,-,-,-,-,-,5,
,"11,319","1,661","13,714",9.69,19.05,-2.15,100,18.00,19.00,25,"26,300.00",25,"1,173.20","1,195.95",25,-191.75,"1,138.00",11.95,17,9,20,
,-,-,-,-,-,-,750,11.50,66.90,"2,300","26,350.00",50,"1,119.10","1,457.90",50,-,-,-,-,-,6,
,943,943,"3,476",9.90,15.45,-208.50,"1,100",13.10,15.85,25,"26,400.00",25,"1,252.35","1,321.75",25,-12.00,"1,228.00",11.96,5,1,4,
,44,43,56,10.18,15.00,-37.95,250,9.85,19.95,250,"26,450.00",50,"1,240.55","1,582.90",450,-,-,-,-,-,5,
,"31,559","5,879","27,203",10.18,12.90,-0.85,475,12.60,14.30,725,"26,500.00",250,"1,372.65","1,401.85",400,50.55,"1,378.35",16.34,775,129,"3,065",
,492,26,266,10.30,11.60,0.45,25,11.15,16.50,175,"26,550.00",50,"1,334.50","1,666.00",50,-,-,-,-,-,3,
,"2,022",636,"3,361",10.42,10.50,-0.10,75,8.25,11.40,100,"26,600.00",25,"1,414.70","1,527.60",25,-816.20,"1,450.00",15.30,1,-,-,
,20,16,38,10.94,11.90,-7.10,800,8.00,11.95,250,"26,650.00",50,"1,432.90","1,806.45",50,-,-,-,-,-,-,
,"2,199","1,343","3,829",10.76,9.30,-0.25,25,9.05,10.00,"1,575","26,700.00",25,"1,512.65","1,602.55",25,-799.55,"1,550.00",16.11,1,-,-,
,383,167,391,10.99,9.00,0.20,400,8.00,9.65,75,"26,750.00",25,"1,563.15","1,666.05",25,-,-,-,-,-,-,
,"36,022","1,254","20,500",11.94,7.10,0.70,"1,325",7.10,7.25,475,"27,000.00",500,"1,859.85","1,878.95",25,55.65,"1,872.20",20.13,"10,338","-3,187","15,579",
,"16,106","3,490","8,397",15.56,3.55,-1.05,"1,075",3.55,3.70,"3,200","28,000.00",250,"2,850.35","2,857.25",25,30.95,"2,846.90",25.77,"5,155","4,601","6,900",
,"24,475",343,"2,282",19.67,3.15,-0.55,25,3.05,3.20,"1,275","29,000.00",25,"3,835.00","3,848.15",25,34.10,"3,825.00",30.49,73,52,"2,910",
